'stage','nr','cms','title','image','html','note','comment'
'--',1,0,'Comment Stage, No Operation',' >>--+- -- ----+--+--------+-------><
     +-comment-+  +-string-+
','&#x25B6;&#x25B6;--+- <b>--</b> ----+--+--------+-------&#x25B6;&#x25C4;
     +-comment-+  +-<span class=var>string</span>-+</p-diag>
','<ul>
   <li>delegates to <b>comment</b>.

   <li>Not in CMS Pipelines;

   <li>This is a STAGE, not a programming comment. It must have a SPACE after <b>--</b>.
   <li>It must have either a stageEnd or pipeEnd.
   <li>If used before a driver stage, it must have a pipeEnd.
   </ul>
',
'<',1,1,'Read a File','>>--<--string--><','&#x25B6;&#x25B6;-<ul><li>Implemented as in CMS; delegates to <b>diskr</b>.</ul>-<b>&lt;</b>--<span class=var>string</span>--&#x25B6;&#x25C4;','',
'<mdsk',0,1,'Read a CMS File from a Mode','','','Not implemented in Netrexx Pipelines.',
'<mys',0,1,'Read a Physical Sequential Data Set or a Member of a Partitioned Data Set','','','Not implemented in Netrexx Pipelines.',
'<oe',0,1,'Read an OpenExtensions Text File','','','Not implemented in Netrexx Pipelines.',
'<sfs',0,1,'Read an SFS File','','','Not implemented in Netrexx Pipelines.',
'<sfsslow',0,1,'Read an SFS File','','','Not implemented in Netrexx Pipelines.',
'>',1,1,'Replace or Create a File','>>-->--string--><','&#x25B6;&#x25B6;--<b>&gt;</b>--<span class=var>string</span>--&#x25B6;&#x25C4;','delegates to diskw.',
'>mdsk',0,1,'Replace or Create a CMS File on a Mode','','','Not implemented in Netrexx Pipelines.',
'>mvs',0,1,'Rewrite a Physical Sequential Data Set or a Member of a Partitioned Data Set','','','Not implemented in Netrexx Pipelines.',
'>oe',0,1,'Replace or Create an OpenExtensions Text File','','','Not implemented in Netrexx Pipelines.',
'>sfs',0,1,'Replace or Create an SFS File','','','Not implemented in Netrexx Pipelines.',
'>>',1,1,'Append to or Create a File','>>-->>--string--><','&#x25B6;&#x25B6;--<b>&gt;&gt;</b>--<span class=var>string</span>--&#x25B6;&#x25C4;','delegates to diska.',
'>>mdsk',0,1,'Append to or Create a CMS File on a Mode','','','Not implemented in Netrexx Pipelines.',
'>>mvs',0,1,'Append to a Physical Sequential Data Set','','','Not implemented in Netrexx Pipelines.',
'>>oe',0,1,'Append to or Create an OpenExtensions Text File','','','Not implemented in Netrexx Pipelines.',
'>>sfs',0,1,'Append to or Create an SFS File','','','Not implemented in Netrexx Pipelines.',
'>>sfsslow',0,1,'Append to or Create an SFS File','','','Not implemented in Netrexx Pipelines.',
'?',0,1,'Display Help for Pipelines','','','Not implemented in Netrexx Pipelines.',
'abbreviation',1,1,'Select Records that Contain an Abbreviation of a Word in the First Positions',' >>--ABBREViation-(1)--+-----------------------------------+---><
                       +-word-+-------------------------+--+
                              +-number-+-------------+--+
                                       +-ANYcase-(2)-+
